N,P,K,SoilType,Season,PreviousCrop,Crop,RequiredNutrient
24,20,41,Clay,Summer,Pulses,Pulses,Phosphorus
67,80,5,Red,Rabi,Sorghum,Sorghum,Potassium
55,20,57,Clay,Rabi,Tomato,Tomato,Phosphorus
64,39,60,Sandy,Rabi,Potato,Potato,Phosphorus
25,31,21,Red,Summer,Rice,Rice,Potassium
43,46,22,Clay,Summer,Barley,Barley,Potassium
68,29,33,Black,Summer,Soybean,Soybean,Phosphorus
71,16,18,Sandy,Rabi,Sunflower,Sunflower,Phosphorus
49,18,28,Red,Rabi,Tomato,Tomato,Phosphorus
52,15,52,Sandy,Rabi,Soybean,Soybean,Phosphorus
32,41,36,Clay,Rabi,Wheat,Wheat,Nitrogen
67,55,42,Clay,Kharif,Tomato,Tomato,None
60,15,29,Clay,Rabi,Sunflower,Sunflower,Phosphorus
41,53,25,Red,Summer,Soybean,Soybean,Potassium
31,24,43,Red,Kharif,Maize,Maize,Phosphorus
43,53,15,Red,Summer,Millet,Millet,Potassium
69,31,8,Sandy,Kharif,Wheat,Wheat,Potassium
27,46,50,Black,Rabi,Maize,Maize,Nitrogen
78,22,5,Red,Rabi,Millet,Millet,Potassium
77,40,40,Red,Rabi,Pulses,Pulses,Phosphorus
78,39,26,Red,Rabi,Sugarcane,Sugarcane,Potassium
41,41,24,Sandy,Summer,Wheat,Wheat,Potassium
65,68,18,Sandy,Kharif,Pulses,Pulses,Potassium
65,17,22,Black,Rabi,Sugarcane,Sugarcane,Phosphorus
51,26,11,Clay,Kharif,Potato,Potato,Potassium
23,78,22,Red,Rabi,Wheat,Wheat,Potassium
36,31,60,Black,Kharif,Maize,Maize,Phosphorus
26,51,44,Red,Summer,Barley,Barley,Nitrogen
35,76,59,Sandy,Kharif,Onion,Onion,Nitrogen
14,24,59,Clay,Summer,Maize,Maize,Nitrogen
16,56,18,Red,Kharif,Pulses,Pulses,Nitrogen
55,25,44,Sandy,Kharif,Soybean,Soybean,Phosphorus
74,26,54,Sandy,Kharif,Groundnut,Groundnut,Phosphorus
19,68,20,Black,Rabi,Potato,Potato,Nitrogen
35,33,18,Sandy,Kharif,Sorghum,Sorghum,Potassium
62,38,19,Sandy,Summer,Sugarcane,Sugarcane,Potassium
39,13,24,Sandy,Summer,Rice,Rice,Phosphorus
45,35,45,Red,Rabi,Sunflower,Sunflower,Phosphorus
78,44,5,Black,Summer,Millet,Millet,Potassium
21,70,31,Black,Summer,Rice,Rice,Nitrogen
21,77,27,Sandy,Summer,Groundnut,Groundnut,Nitrogen
27,50,38,Red,Kharif,Groundnut,Groundnut,Nitrogen
54,45,14,Sandy,Rabi,Wheat,Wheat,Potassium
13,55,52,Red,Summer,Groundnut,Groundnut,Nitrogen
23,75,7,Sandy,Rabi,Pulses,Pulses,Potassium
46,80,38,Sandy,Summer,Maize,Maize,Potassium
36,38,32,Black,Rabi,Millet,Millet,Potassium
50,63,44,Black,Summer,Groundnut,Groundnut,Potassium
18,72,16,Clay,Kharif,Wheat,Wheat,Potassium
65,11,7,Sandy,Rabi,Maize,Maize,Potassium
18,56,27,Black,Rabi,Wheat,Wheat,Nitrogen
79,40,30,Black,Rabi,Pulses,Pulses,Potassium
41,34,44,Clay,Summer,Onion,Onion,Phosphorus
40,37,54,Clay,Rabi,Sorghum,Sorghum,Phosphorus
27,69,40,Black,Summer,Pulses,Pulses,Nitrogen
41,64,22,Black,Rabi,Barley,Barley,Potassium
64,17,41,Red,Rabi,Barley,Barley,Phosphorus
57,18,39,Black,Summer,Cotton,Cotton,Phosphorus
28,77,51,Red,Summer,Sugarcane,Sugarcane,Nitrogen
42,62,18,Clay,Rabi,Onion,Onion,Potassium
52,11,31,Clay,Summer,Maize,Maize,Phosphorus
78,70,53,Clay,Summer,Sugarcane,Sugarcane,None
56,48,42,Red,Summer,Millet,Millet,Potassium
39,14,60,Clay,Kharif,Sunflower,Sunflower,Phosphorus
10,44,9,Red,Rabi,Wheat,Wheat,Potassium
79,63,11,Sandy,Summer,Wheat,Wheat,Potassium
68,59,52,Sandy,Summer,Onion,Onion,None
62,59,5,Black,Summer,Maize,Maize,Potassium
21,16,19,Sandy,Rabi,Sorghum,Sorghum,Phosphorus
35,18,11,Red,Kharif,Cotton,Cotton,Potassium
35,70,38,Sandy,Summer,Pulses,Pulses,Nitrogen
43,79,8,Clay,Summer,Tomato,Tomato,Potassium
66,17,47,Clay,Kharif,Rice,Rice,Phosphorus
28,64,45,Red,Summer,Sorghum,Sorghum,Nitrogen
68,64,43,Sandy,Summer,Pulses,Pulses,None
80,79,40,Clay,Summer,Sugarcane,Sugarcane,Potassium
38,19,9,Sandy,Kharif,Rice,Rice,Potassium
33,80,14,Clay,Kharif,Barley,Barley,Potassium
74,41,34,Red,Rabi,Sorghum,Sorghum,Potassium
72,42,42,Red,Kharif,Rice,Rice,Phosphorus
60,10,55,Black,Kharif,Pulses,Pulses,Phosphorus
44,26,36,Black,Summer,Maize,Maize,Phosphorus
48,61,14,Black,Summer,Barley,Barley,Potassium
71,30,41,Black,Kharif,Soybean,Soybean,Phosphorus
55,72,54,Red,Summer,Tomato,Tomato,None
25,45,31,Sandy,Summer,Cotton,Cotton,Nitrogen
15,34,60,Sandy,Summer,Rice,Rice,Nitrogen
40,38,57,Black,Summer,Barley,Barley,Phosphorus
43,67,25,Black,Rabi,Pulses,Pulses,Potassium
57,69,26,Clay,Kharif,Wheat,Wheat,Potassium
40,26,27,Sandy,Summer,Millet,Millet,Phosphorus
18,16,54,Sandy,Summer,Pulses,Pulses,Phosphorus
68,21,24,Clay,Rabi,Barley,Barley,Phosphorus
78,27,29,Clay,Rabi,Sugarcane,Sugarcane,Phosphorus
70,58,12,Clay,Kharif,Maize,Maize,Potassium
16,56,5,Red,Summer,Sugarcane,Sugarcane,Potassium
42,28,29,Sandy,Summer,Pulses,Pulses,Phosphorus
52,70,34,Clay,Rabi,Potato,Potato,Potassium
13,42,55,Red,Kharif,Millet,Millet,Nitrogen
11,44,25,Red,Rabi,Sorghum,Sorghum,Nitrogen
63,55,35,Sandy,Rabi,Sorghum,Sorghum,Potassium
13,45,48,Red,Kharif,Potato,Potato,Nitrogen
22,75,9,Black,Summer,Barley,Barley,Potassium
46,62,17,Black,Summer,Barley,Barley,Potassium
65,15,5,Sandy,Rabi,Barley,Barley,Potassium
12,60,42,Black,Kharif,Barley,Barley,Nitrogen
55,17,59,Black,Summer,Soybean,Soybean,Phosphorus
56,79,35,Red,Rabi,Rice,Rice,Potassium
23,69,41,Black,Rabi,Potato,Potato,Nitrogen
76,21,25,Clay,Rabi,Rice,Rice,Phosphorus
24,76,23,Sandy,Summer,Maize,Maize,Potassium
58,13,29,Clay,Rabi,Pulses,Pulses,Phosphorus
56,17,43,Clay,Kharif,Onion,Onion,Phosphorus
19,15,27,Clay,Summer,Sugarcane,Sugarcane,Phosphorus
40,80,38,Sandy,Summer,Wheat,Wheat,Potassium
15,14,35,Sandy,Rabi,Rice,Rice,Phosphorus
15,62,6,Sandy,Summer,Chickpea,Chickpea,Potassium
15,61,15,Black,Summer,Maize,Maize,Nitrogen
78,50,33,Red,Summer,Soybean,Soybean,Potassium
49,15,19,Black,Rabi,Rice,Rice,Phosphorus
72,45,37,Sandy,Summer,Sunflower,Sunflower,Potassium
28,14,57,Sandy,Summer,Rice,Rice,Phosphorus
44,29,33,Black,Rabi,Millet,Millet,Phosphorus
35,71,41,Clay,Rabi,Sugarcane,Sugarcane,Nitrogen
26,31,5,Black,Kharif,Cotton,Cotton,Potassium
71,16,47,Clay,Summer,Barley,Barley,Phosphorus
77,40,13,Black,Summer,Chickpea,Chickpea,Potassium
21,74,10,Clay,Summer,Chickpea,Chickpea,Potassium
26,48,42,Red,Kharif,Millet,Millet,Nitrogen
64,19,23,Red,Summer,Pulses,Pulses,Phosphorus
64,53,54,Sandy,Rabi,Tomato,Tomato,None
67,65,48,Red,Summer,Sugarcane,Sugarcane,None
18,42,14,Clay,Rabi,Sorghum,Sorghum,Potassium
65,52,31,Red,Kharif,Maize,Maize,Potassium
74,80,57,Clay,Summer,Millet,Millet,None
37,16,11,Clay,Kharif,Wheat,Wheat,Potassium
71,46,27,Sandy,Kharif,Pulses,Pulses,Potassium
68,32,45,Clay,Rabi,Soybean,Soybean,Phosphorus
54,30,47,Black,Rabi,Maize,Maize,Phosphorus
29,26,54,Red,Summer,Sugarcane,Sugarcane,Phosphorus
66,23,25,Black,Rabi,Rice,Rice,Phosphorus
11,65,52,Black,Rabi,Sugarcane,Sugarcane,Nitrogen
39,35,45,Black,Summer,Pulses,Pulses,Phosphorus
37,40,59,Clay,Rabi,Maize,Maize,Nitrogen
19,31,55,Red,Kharif,Sunflower,Sunflower,Nitrogen
16,58,16,Sandy,Kharif,Wheat,Wheat,Nitrogen
28,43,6,Red,Rabi,Onion,Onion,Potassium
32,64,38,Clay,Rabi,Wheat,Wheat,Nitrogen
74,20,34,Black,Kharif,Potato,Potato,Phosphorus
31,41,35,Red,Summer,Tomato,Tomato,Nitrogen
13,74,54,Sandy,Kharif,Soybean,Soybean,Nitrogen
63,33,15,Sandy,Summer,Wheat,Wheat,Potassium
43,46,51,Sandy,Summer,Rice,Rice,Nitrogen
61,12,37,Sandy,Summer,Pulses,Pulses,Phosphorus
60,79,47,Clay,Kharif,Pulses,Pulses,None
79,14,47,Black,Summer,Groundnut,Groundnut,Phosphorus
72,23,15,Sandy,Kharif,Sugarcane,Sugarcane,Potassium
36,69,32,Sandy,Kharif,Maize,Maize,Potassium
65,75,13,Black,Kharif,Cotton,Cotton,Potassium
69,30,31,Red,Summer,Maize,Maize,Phosphorus
37,73,48,Sandy,Summer,Sunflower,Sunflower,Nitrogen
29,35,39,Clay,Summer,Wheat,Wheat,Nitrogen
36,40,55,Sandy,Rabi,Wheat,Wheat,Nitrogen
53,60,16,Clay,Rabi,Maize,Maize,Potassium
60,47,32,Black,Summer,Maize,Maize,Potassium
66,63,13,Black,Kharif,Rice,Rice,Potassium
20,66,22,Sandy,Kharif,Groundnut,Groundnut,Nitrogen
46,66,52,Sandy,Kharif,Cotton,Cotton,Nitrogen
46,43,43,Black,Rabi,Maize,Maize,Phosphorus
68,66,32,Sandy,Kharif,Wheat,Wheat,Potassium
22,61,20,Red,Kharif,Chickpea,Chickpea,Potassium
17,20,26,Black,Summer,Rice,Rice,Nitrogen
51,50,51,Sandy,Rabi,Groundnut,Groundnut,Phosphorus
35,79,25,Sandy,Kharif,Rice,Rice,Potassium
80,57,45,Clay,Rabi,Cotton,Cotton,None
77,46,52,Sandy,Summer,Chickpea,Chickpea,Phosphorus
37,16,29,Red,Kharif,Maize,Maize,Phosphorus
28,51,26,Clay,Rabi,Millet,Millet,Potassium
42,29,9,Red,Rabi,Pulses,Pulses,Potassium
36,54,8,Black,Summer,Onion,Onion,Potassium
53,14,30,Clay,Kharif,Pulses,Pulses,Phosphorus
60,25,47,Clay,Kharif,Potato,Potato,Phosphorus
26,15,37,Red,Summer,Potato,Potato,Phosphorus
74,23,44,Black,Rabi,Onion,Onion,Phosphorus
41,15,46,Red,Summer,Rice,Rice,Phosphorus
15,41,30,Sandy,Rabi,Potato,Potato,Nitrogen
64,25,54,Sandy,Rabi,Chickpea,Chickpea,Phosphorus
53,32,30,Red,Summer,Rice,Rice,Potassium
37,30,48,Red,Rabi,Sunflower,Sunflower,Phosphorus
15,18,54,Black,Summer,Sunflower,Sunflower,Nitrogen
73,20,53,Black,Rabi,Groundnut,Groundnut,Phosphorus
72,31,36,Red,Kharif,Maize,Maize,Phosphorus
34,77,18,Sandy,Rabi,Soybean,Soybean,Potassium
19,44,55,Clay,Summer,Soybean,Soybean,Nitrogen
13,79,20,Red,Summer,Sugarcane,Sugarcane,Nitrogen
42,14,53,Clay,Summer,Pulses,Pulses,Phosphorus
46,27,41,Red,Kharif,Potato,Potato,Phosphorus
30,45,34,Black,Rabi,Sunflower,Sunflower,Nitrogen
50,45,60,Sandy,Rabi,Pulses,Pulses,Phosphorus
52,10,56,Clay,Rabi,Onion,Onion,Phosphorus
61,55,28,Black,Summer,Wheat,Wheat,Potassium
62,69,44,Sandy,Kharif,Sunflower,Sunflower,None
58,51,35,Clay,Kharif,Cotton,Cotton,Potassium
37,64,16,Clay,Summer,Potato,Potato,Potassium
13,59,40,Sandy,Summer,Maize,Maize,Nitrogen
38,70,28,Clay,Rabi,Soybean,Soybean,Potassium
34,29,43,Red,Rabi,Onion,Onion,Phosphorus
20,55,48,Black,Rabi,Sugarcane,Sugarcane,Nitrogen
53,27,43,Red,Rabi,Groundnut,Groundnut,Phosphorus
13,61,24,Clay,Kharif,Soybean,Soybean,Nitrogen
26,67,32,Red,Summer,Cotton,Cotton,Nitrogen
18,31,20,Clay,Rabi,Rice,Rice,Nitrogen
72,40,23,Clay,Kharif,Chickpea,Chickpea,Potassium
10,21,18,Red,Rabi,Rice,Rice,Nitrogen
61,10,12,Black,Rabi,Groundnut,Groundnut,Phosphorus
78,68,20,Black,Kharif,Soybean,Soybean,Potassium
72,53,30,Clay,Rabi,Pulses,Pulses,Potassium
34,71,12,Clay,Kharif,Groundnut,Groundnut,Potassium
16,45,48,Black,Kharif,Cotton,Cotton,Nitrogen
56,15,59,Sandy,Summer,Chickpea,Chickpea,Phosphorus
31,21,30,Sandy,Kharif,Sugarcane,Sugarcane,Phosphorus
12,47,19,Sandy,Kharif,Maize,Maize,Nitrogen
26,67,6,Sandy,Rabi,Groundnut,Groundnut,Potassium
22,42,48,Red,Summer,Onion,Onion,Nitrogen
73,64,9,Black,Rabi,Potato,Potato,Potassium
22,42,41,Black,Summer,Groundnut,Groundnut,Nitrogen
68,41,35,Clay,Rabi,Wheat,Wheat,Potassium
26,26,53,Clay,Rabi,Groundnut,Groundnut,Nitrogen
70,15,29,Red,Kharif,Pulses,Pulses,Phosphorus
77,47,29,Clay,Kharif,Sunflower,Sunflower,Potassium
20,33,28,Sandy,Kharif,Sorghum,Sorghum,Nitrogen
43,40,55,Sandy,Kharif,Barley,Barley,Phosphorus
79,41,51,Clay,Summer,Sunflower,Sunflower,Phosphorus
14,77,57,Clay,Rabi,Wheat,Wheat,Nitrogen
10,60,44,Red,Rabi,Potato,Potato,Nitrogen
17,11,21,Black,Rabi,Onion,Onion,Phosphorus
65,36,7,Sandy,Summer,Millet,Millet,Potassium
23,40,17,Clay,Kharif,Sugarcane,Sugarcane,Potassium
59,24,54,Black,Summer,Tomato,Tomato,Phosphorus
61,65,9,Clay,Rabi,Tomato,Tomato,Potassium
43,56,45,Sandy,Kharif,Groundnut,Groundnut,Nitrogen
47,41,40,Red,Summer,Barley,Barley,Potassium
49,51,12,Sandy,Kharif,Soybean,Soybean,Potassium
39,43,41,Sandy,Rabi,Potato,Potato,Nitrogen
33,28,44,Sandy,Summer,Pulses,Pulses,Phosphorus
38,63,40,Black,Summer,Millet,Millet,Nitrogen
32,27,39,Black,Rabi,Tomato,Tomato,Phosphorus
67,75,59,Red,Summer,Millet,Millet,None
16,15,18,Black,Kharif,Onion,Onion,Phosphorus
56,44,41,Black,Summer,Wheat,Wheat,Potassium
20,46,36,Black,Rabi,Sorghum,Sorghum,Nitrogen
66,67,16,Black,Rabi,Soybean,Soybean,Potassium
21,21,49,Black,Kharif,Chickpea,Chickpea,Nitrogen
69,71,6,Red,Rabi,Wheat,Wheat,Potassium
11,34,5,Clay,Kharif,Maize,Maize,Potassium
78,32,47,Clay,Rabi,Barley,Barley,Phosphorus
69,77,18,Black,Summer,Tomato,Tomato,Potassium
58,69,26,Black,Summer,Tomato,Tomato,Potassium
73,51,31,Red,Kharif,Rice,Rice,Potassium
23,75,30,Sandy,Summer,Wheat,Wheat,Nitrogen
34,30,42,Clay,Kharif,Soybean,Soybean,Phosphorus
58,44,22,Black,Summer,Chickpea,Chickpea,Potassium
52,69,47,Sandy,Rabi,Chickpea,Chickpea,None
15,28,27,Black,Kharif,Maize,Maize,Nitrogen
60,60,60,Sandy,Rabi,Maize,Maize,None
23,43,30,Clay,Summer,Groundnut,Groundnut,Nitrogen
40,18,16,Sandy,Rabi,Sorghum,Sorghum,Potassium
20,37,10,Red,Rabi,Pulses,Pulses,Potassium
32,25,32,Sandy,Rabi,Maize,Maize,Phosphorus
72,71,43,Black,Kharif,Groundnut,Groundnut,None
54,59,38,Sandy,Kharif,Pulses,Pulses,Potassium
27,78,43,Black,Kharif,Sugarcane,Sugarcane,Nitrogen
34,32,46,Sandy,Rabi,Groundnut,Groundnut,Phosphorus
53,69,17,Sandy,Rabi,Barley,Barley,Potassium
29,33,8,Black,Rabi,Millet,Millet,Potassium
62,59,52,Black,Rabi,Groundnut,Groundnut,None
74,20,18,Clay,Kharif,Cotton,Cotton,Potassium
46,68,27,Black,Rabi,Tomato,Tomato,Potassium
80,28,14,Red,Rabi,Millet,Millet,Potassium
15,66,54,Sandy,Kharif,Barley,Barley,Nitrogen
46,11,41,Sandy,Summer,Groundnut,Groundnut,Phosphorus
15,16,28,Sandy,Kharif,Millet,Millet,Nitrogen
46,28,7,Red,Rabi,Wheat,Wheat,Potassium
16,52,58,Sandy,Kharif,Sunflower,Sunflower,Nitrogen
17,44,15,Black,Rabi,Rice,Rice,Potassium
11,73,56,Red,Summer,Sorghum,Sorghum,Nitrogen
60,21,28,Black,Rabi,Cotton,Cotton,Phosphorus
37,45,20,Black,Rabi,Barley,Barley,Potassium
55,64,14,Sandy,Rabi,Soybean,Soybean,Potassium
72,50,6,Sandy,Rabi,Potato,Potato,Potassium
11,28,41,Red,Kharif,Soybean,Soybean,Nitrogen
45,31,41,Black,Rabi,Chickpea,Chickpea,Phosphorus
50,48,56,Sandy,Rabi,Groundnut,Groundnut,Phosphorus
65,36,54,Clay,Rabi,Groundnut,Groundnut,Phosphorus
24,28,22,Red,Rabi,Groundnut,Groundnut,Potassium
42,34,9,Sandy,Summer,Groundnut,Groundnut,Potassium
45,47,38,Clay,Summer,Sugarcane,Sugarcane,Potassium
59,17,23,Clay,Summer,Pulses,Pulses,Phosphorus
40,22,9,Black,Rabi,Pulses,Pulses,Potassium
67,30,52,Clay,Rabi,Sorghum,Sorghum,Phosphorus
38,43,49,Clay,Kharif,Sunflower,Sunflower,Nitrogen
65,16,47,Sandy,Kharif,Pulses,Pulses,Phosphorus
63,37,39,Sandy,Kharif,Sorghum,Sorghum,Phosphorus
50,30,41,Sandy,Rabi,Groundnut,Groundnut,Phosphorus
25,54,42,Sandy,Kharif,Soybean,Soybean,Nitrogen
66,80,20,Clay,Summer,Barley,Barley,Potassium
34,13,28,Clay,Summer,Maize,Maize,Phosphorus
79,34,5,Clay,Rabi,Millet,Millet,Potassium
31,80,6,Clay,Rabi,Pulses,Pulses,Potassium
77,25,6,Sandy,Summer,Rice,Rice,Potassium
23,35,24,Red,Rabi,Potato,Potato,Nitrogen
34,60,6,Red,Rabi,Pulses,Pulses,Potassium
27,15,19,Red,Summer,Rice,Rice,Phosphorus
79,29,15,Clay,Summer,Barley,Barley,Potassium
30,65,17,Black,Summer,Tomato,Tomato,Potassium
65,13,34,Clay,Summer,Onion,Onion,Phosphorus
20,43,48,Black,Kharif,Sorghum,Sorghum,Nitrogen
14,55,11,Black,Rabi,Tomato,Tomato,Potassium
45,54,30,Black,Kharif,Chickpea,Chickpea,Potassium
61,12,33,Sandy,Kharif,Onion,Onion,Phosphorus
24,43,54,Sandy,Kharif,Chickpea,Chickpea,Nitrogen
59,41,14,Clay,Summer,Soybean,Soybean,Potassium
32,14,15,Black,Kharif,Cotton,Cotton,Phosphorus
19,42,6,Red,Kharif,Onion,Onion,Potassium
68,30,29,Black,Kharif,Potato,Potato,Potassium
52,79,44,Black,Rabi,Pulses,Pulses,None
29,19,42,Clay,Summer,Wheat,Wheat,Phosphorus
71,24,9,Red,Rabi,Maize,Maize,Potassium
42,69,36,Clay,Summer,Sugarcane,Sugarcane,Potassium
46,31,44,Black,Summer,Sugarcane,Sugarcane,Phosphorus
67,75,49,Black,Summer,Cotton,Cotton,None
26,26,49,Black,Rabi,Sorghum,Sorghum,Nitrogen
50,65,12,Black,Kharif,Chickpea,Chickpea,Potassium
66,47,42,Sandy,Rabi,Maize,Maize,Potassium
46,37,52,Red,Kharif,Groundnut,Groundnut,Phosphorus
47,15,37,Red,Rabi,Pulses,Pulses,Phosphorus
38,20,10,Red,Summer,Barley,Barley,Potassium
76,12,38,Clay,Rabi,Groundnut,Groundnut,Phosphorus
46,69,36,Sandy,Kharif,Barley,Barley,Potassium
63,13,26,Clay,Kharif,Soybean,Soybean,Phosphorus
48,56,19,Sandy,Rabi,Potato,Potato,Potassium
79,20,57,Clay,Rabi,Onion,Onion,Phosphorus
66,70,16,Red,Summer,Wheat,Wheat,Potassium
31,65,32,Clay,Kharif,Sorghum,Sorghum,Nitrogen
22,77,57,Red,Rabi,Millet,Millet,Nitrogen
14,56,49,Black,Summer,Sunflower,Sunflower,Nitrogen
68,68,20,Red,Kharif,Wheat,Wheat,Potassium
63,80,36,Sandy,Rabi,Rice,Rice,Potassium
27,29,43,Clay,Summer,Sorghum,Sorghum,Nitrogen
11,33,43,Clay,Rabi,Chickpea,Chickpea,Nitrogen
46,34,45,Red,Summer,Sugarcane,Sugarcane,Phosphorus
15,16,18,Black,Kharif,Barley,Barley,Nitrogen
65,72,22,Black,Summer,Millet,Millet,Potassium
29,63,16,Clay,Kharif,Maize,Maize,Potassium
49,52,56,Black,Rabi,Tomato,Tomato,Nitrogen
57,20,56,Red,Rabi,Chickpea,Chickpea,Phosphorus
17,40,53,Clay,Rabi,Onion,Onion,Nitrogen
15,19,43,Black,Summer,Sorghum,Sorghum,Nitrogen
49,25,37,Black,Kharif,Sugarcane,Sugarcane,Phosphorus
57,63,12,Clay,Summer,Chickpea,Chickpea,Potassium
36,40,7,Red,Kharif,Potato,Potato,Potassium
45,27,58,Red,Rabi,Tomato,Tomato,Phosphorus
41,19,27,Black,Summer,Sunflower,Sunflower,Phosphorus
37,46,5,Sandy,Kharif,Sugarcane,Sugarcane,Potassium
45,59,38,Red,Kharif,Groundnut,Groundnut,Potassium
53,78,36,Clay,Rabi,Potato,Potato,Potassium
55,21,12,Clay,Kharif,Pulses,Pulses,Potassium
60,33,43,Sandy,Rabi,Maize,Maize,Phosphorus
32,22,23,Clay,Kharif,Maize,Maize,Phosphorus
36,59,47,Black,Summer,Onion,Onion,Nitrogen
53,66,37,Black,Rabi,Rice,Rice,Potassium
38,42,52,Sandy,Summer,Wheat,Wheat,Nitrogen
46,74,17,Red,Summer,Cotton,Cotton,Potassium
19,13,59,Black,Rabi,Pulses,Pulses,Phosphorus
17,32,40,Red,Rabi,Sunflower,Sunflower,Nitrogen
57,34,8,Black,Rabi,Barley,Barley,Potassium
52,36,53,Clay,Summer,Pulses,Pulses,Phosphorus
62,36,52,Clay,Kharif,Sorghum,Sorghum,Phosphorus
16,11,50,Red,Summer,Sunflower,Sunflower,Phosphorus
30,44,42,Sandy,Rabi,Cotton,Cotton,Nitrogen
79,53,46,Clay,Rabi,Soybean,Soybean,None
32,11,53,Black,Rabi,Millet,Millet,Phosphorus
53,49,21,Clay,Rabi,Sugarcane,Sugarcane,Potassium
53,70,44,Black,Kharif,Sorghum,Sorghum,None
48,64,17,Black,Summer,Barley,Barley,Potassium
79,24,16,Sandy,Rabi,Sunflower,Sunflower,Potassium
43,65,56,Red,Summer,Sorghum,Sorghum,Nitrogen
23,46,49,Clay,Kharif,Millet,Millet,Nitrogen
70,13,41,Clay,Kharif,Maize,Maize,Phosphorus
53,36,43,Sandy,Summer,Sugarcane,Sugarcane,Phosphorus
31,76,50,Sandy,Summer,Chickpea,Chickpea,Nitrogen
31,80,19,Sandy,Kharif,Rice,Rice,Potassium
79,20,17,Clay,Rabi,Onion,Onion,Potassium
45,19,60,Black,Kharif,Rice,Rice,Phosphorus
21,51,45,Sandy,Summer,Cotton,Cotton,Nitrogen
19,35,44,Black,Rabi,Pulses,Pulses,Nitrogen
54,62,49,Sandy,Kharif,Sorghum,Sorghum,None
27,80,31,Red,Summer,Onion,Onion,Nitrogen
66,76,55,Black,Rabi,Pulses,Pulses,None
68,71,21,Sandy,Kharif,Sunflower,Sunflower,Potassium
25,14,30,Sandy,Kharif,Potato,Potato,Phosphorus
11,70,18,Sandy,Rabi,Wheat,Wheat,Nitrogen
57,62,33,Sandy,Kharif,Millet,Millet,Potassium
52,32,44,Clay,Rabi,Cotton,Cotton,Phosphorus
48,23,50,Sandy,Summer,Sugarcane,Sugarcane,Phosphorus
19,15,34,Sandy,Rabi,Potato,Potato,Phosphorus
63,10,6,Clay,Rabi,Sorghum,Sorghum,Potassium
70,54,56,Black,Kharif,Sorghum,Sorghum,None
69,17,55,Black,Summer,Soybean,Soybean,Phosphorus
72,47,13,Sandy,Kharif,Rice,Rice,Potassium
53,71,35,Black,Summer,Sugarcane,Sugarcane,Potassium
43,46,41,Red,Kharif,Soybean,Soybean,Potassium
33,22,10,Red,Kharif,Wheat,Wheat,Potassium
75,11,42,Sandy,Kharif,Sunflower,Sunflower,Phosphorus
75,80,42,Sandy,Summer,Cotton,Cotton,None
47,58,22,Sandy,Kharif,Sunflower,Sunflower,Potassium
64,21,11,Red,Summer,Onion,Onion,Potassium
79,38,40,Clay,Rabi,Barley,Barley,Phosphorus
11,66,27,Red,Rabi,Sunflower,Sunflower,Nitrogen
44,69,20,Sandy,Rabi,Cotton,Cotton,Potassium
63,38,52,Black,Rabi,Millet,Millet,Phosphorus
23,17,5,Red,Rabi,Onion,Onion,Potassium
14,43,57,Red,Summer,Chickpea,Chickpea,Nitrogen
44,27,15,Red,Kharif,Onion,Onion,Potassium
42,20,30,Clay,Rabi,Chickpea,Chickpea,Phosphorus
62,46,59,Clay,Rabi,Potato,Potato,Phosphorus
34,64,56,Sandy,Rabi,Barley,Barley,Nitrogen
75,33,48,Red,Kharif,Tomato,Tomato,Phosphorus
67,30,46,Black,Summer,Groundnut,Groundnut,Phosphorus
45,24,54,Clay,Kharif,Pulses,Pulses,Phosphorus
10,10,42,Sandy,Summer,Onion,Onion,Nitrogen
15,46,14,Clay,Summer,Barley,Barley,Potassium
80,42,27,Sandy,Rabi,Cotton,Cotton,Potassium
76,28,30,Clay,Summer,Tomato,Tomato,Phosphorus
26,65,13,Clay,Summer,Potato,Potato,Potassium
10,65,21,Sandy,Summer,Soybean,Soybean,Nitrogen
37,24,33,Red,Summer,Cotton,Cotton,Phosphorus
34,52,22,Red,Rabi,Sugarcane,Sugarcane,Potassium
47,16,45,Clay,Summer,Potato,Potato,Phosphorus
59,73,45,Sandy,Kharif,Maize,Maize,None
26,17,8,Black,Summer,Pulses,Pulses,Potassium
14,73,18,Sandy,Kharif,Wheat,Wheat,Nitrogen
69,54,10,Red,Rabi,Cotton,Cotton,Potassium
80,53,30,Clay,Kharif,Potato,Potato,Potassium
18,77,14,Red,Kharif,Millet,Millet,Potassium
31,53,46,Red,Rabi,Chickpea,Chickpea,Nitrogen
26,75,5,Black,Summer,Maize,Maize,Potassium
40,73,34,Sandy,Kharif,Maize,Maize,Potassium
58,30,55,Clay,Kharif,Millet,Millet,Phosphorus
27,61,32,Black,Rabi,Millet,Millet,Nitrogen
74,65,24,Black,Summer,Wheat,Wheat,Potassium
54,62,7,Red,Kharif,Soybean,Soybean,Potassium
15,26,42,Clay,Kharif,Rice,Rice,Nitrogen
17,33,27,Sandy,Rabi,Potato,Potato,Nitrogen
74,22,6,Red,Kharif,Rice,Rice,Potassium
34,75,46,Black,Summer,Potato,Potato,Nitrogen
53,22,49,Clay,Rabi,Pulses,Pulses,Phosphorus
60,45,30,Red,Rabi,Rice,Rice,Potassium
40,55,51,Black,Kharif,Millet,Millet,Nitrogen
46,49,24,Sandy,Summer,Sugarcane,Sugarcane,Potassium
